date,basedate,tmax
1912-11-19,41229,56
1912-11-20,41230,60
1912-11-21,41231,64
1912-11-22,41232,65
1912-11-23,41233,60
1912-11-24,41234,49
1912-11-25,41235,41
1912-11-26,41236,49
1912-11-27,41237,44
1912-11-28,41238,40
1912-11-29,41239,46
1912-11-30,41240,53
1912-12-02,41242,56
1912-12-03,41243,60
1912-12-04,41244,50
1912-12-05,41245,48
1912-12-06,41246,70
1912-12-07,41247,64
1912-12-08,41248,49
1912-12-09,41249,47
1912-12-10,41250,49
1912-12-11,41251,47
1912-12-12,41252,43
1912-12-13,41253,43
1912-12-14,41254,50
1912-12-15,41255,53
1912-12-16,41256,50
1912-12-17,41257,46
1912-12-18,41258,44
1912-12-19,41259,48
1912-12-20,41260,49
1912-12-21,41261,44
1912-12-22,41262,40
1912-12-23,41263,38
1912-12-24,41264,47
1912-12-25,41265,41
1912-12-26,41266,41
1912-12-27,41267,41
1912-12-28,41268,45
1912-12-29,41269,47
1912-12-30,41270,51
1912-12-31,41271,46
1913-01-01,41272,51
1913-01-02,41273,53
1913-01-03,41274,46
1913-01-04,41275,47
1913-01-05,41276,41
1913-01-06,41277,49
1913-01-07,41278,56
1913-01-08,41279,62
1913-01-09,41280,39
1913-01-10,41281,39
1913-01-11,41282,65
1913-01-12,41283,59
1913-01-13,41284,49
1913-01-14,41285,42
1913-01-15,41286,51
1913-01-16,41287,54
1913-01-17,41288,66
1913-01-18,41289,64
1913-01-19,41290,57
1913-01-20,41291,59
1913-01-21,41292,59
1913-01-22,41293,43
1913-01-23,41294,52
1913-01-24,41295,57
1913-01-25,41296,51
1913-01-26,41297,59
1913-01-27,41298,55
1913-01-28,41299,40
1913-01-29,41300,40
1913-01-30,41301,58
1913-01-31,41302,62
1913-02-01,41303,51
1913-02-02,41304,34
1913-02-03,41305,34
1913-02-04,41306,39
1913-02-05,41307,34
1913-02-06,41308,32
1913-02-07,41309,31
1913-02-08,41310,41
1913-02-09,41311,41
1913-02-10,41312,41
1913-02-11,41313,50
1913-02-12,41314,45
1913-02-13,41315,29
1913-02-14,41316,38
1913-02-15,41317,50
1913-02-16,41318,44
1913-02-17,41319,51
1913-02-18,41320,42
1913-02-19,41321,54
1913-02-20,41322,60
1913-02-21,41323,61
1913-02-22,41324,70
1913-02-23,41325,39
1913-02-24,41326,36
1913-02-25,41327,34
1913-02-26,41328,40
1913-02-27,41329,53
1913-02-28,41330,65
1913-03-01,41331,53
1913-03-02,41332,58
1913-03-03,41333,53
1913-03-04,41334,56
1913-03-05,41335,53
1913-03-06,41336,58
1913-03-07,41337,26
1913-03-08,41338,40
1913-03-09,41339,66
1913-03-10,41340,62
1913-03-11,41341,57
1913-03-12,41342,55
1913-03-13,41343,55
1913-03-14,41344,69
1913-03-15,41345,69
1913-03-16,41346,67
1913-03-17,41347,50
1913-03-18,41348,55
1913-03-19,41349,64
1913-03-20,41350,68
1913-03-21,41351,72
1913-03-22,41352,69
1913-03-23,41353,54
1913-03-24,41354,70
1913-03-25,41355,78
1913-03-26,41356,75
1913-03-27,41357,65
1913-03-28,41358,50
1913-03-29,41359,60
1913-03-30,41360,65
1913-03-31,41361,70
1913-04-01,41362,69
1913-04-02,41363,58
1913-04-03,41364,79
1913-04-04,41365,78
1913-04-05,41366,74
1913-04-06,41367,53
1913-04-07,41368,53
1913-04-08,41369,52
1913-04-09,41370,55
1913-04-10,41371,55
1913-04-11,41372,60
1913-04-12,41373,55
1913-04-13,41374,60
1913-04-14,41375,60
1913-04-15,41376,54
1913-04-16,41377,66
1913-04-17,41378,66
1913-04-18,41379,77
1913-04-19,41380,77
1913-04-20,41381,60
1913-04-21,41382,65
1913-04-22,41383,76
1913-04-23,41384,83
1913-04-24,41385,84
1913-04-25,41386,84
1913-04-26,41387,83
1913-04-27,41388,74
1913-04-28,41389,54
1913-04-29,41390,66
1913-04-30,41391,70
1913-05-01,41392,79
1913-05-02,41393,86
1913-05-03,41394,88
1913-05-04,41395,88
1913-05-05,41396,90
1913-05-06,41397,87
1913-05-07,41398,48
1913-05-08,41399,70
1913-05-09,41400,75
1913-05-10,41401,71
1913-05-11,41402,55
1913-05-12,41403,65
1913-05-13,41404,80
1913-05-14,41405,70
1913-05-15,41406,78
1913-05-16,41407,80
1913-05-17,41408,78
1913-05-18,41409,78
1913-05-19,41410,82
1913-05-20,41411,68
1913-05-21,41412,74
1913-05-22,41413,78
1913-05-23,41414,77
1913-05-24,41415,66
1913-05-25,41416,75
1913-05-26,41417,74
1913-05-27,41418,74
1913-05-28,41419,67
1913-05-29,41420,78
1913-05-30,41421,75
1913-05-31,41422,78
1913-06-01,41423,84
1913-06-02,41424,81
1913-06-03,41425,84
1913-06-04,41426,82
1913-06-05,41427,79
1913-06-06,41428,85
1913-06-07,41429,83
1913-06-08,41430,80
1913-06-09,41431,65
1913-06-10,41432,66
1913-06-11,41433,75
1913-06-12,41434,81
1913-06-13,41435,83
1913-06-14,41436,88
1913-06-15,41437,91
1913-06-16,41438,95
1913-06-17,41439,93
1913-06-18,41440,88
1913-06-19,41441,86
1913-06-20,41442,93
1913-06-21,41443,93
1913-06-22,41444,91
1913-06-23,41445,70
1913-06-24,41446,80
1913-06-25,41447,84
1913-06-26,41448,80
1913-06-27,41449,90
1913-06-28,41450,90
1913-06-29,41451,84
1913-06-30,41452,87
1913-07-01,41453,97
1913-07-02,41454,93
1913-07-03,41455,87
1913-07-04,41456,90
1913-07-05,41457,93
1913-07-06,41458,85
1913-07-07,41459,83
1913-07-08,41460,80
1913-07-09,41461,79
1913-07-10,41462,80
1913-07-11,41463,82
1913-07-12,41464,87
1913-07-13,41465,88
1913-07-14,41466,86
1913-07-15,41467,83
1913-07-16,41468,81
1913-07-17,41469,80
1913-07-18,41470,81
1913-07-19,41471,87
1913-07-20,41472,88
1913-07-21,41473,87
1913-07-22,41474,86
1913-07-23,41475,89
1913-07-24,41476,86
1913-07-25,41477,78
1913-07-26,41478,81
1913-07-27,41479,90
1913-07-28,41480,95
1913-07-29,41481,94
1913-07-30,41482,95
1913-07-31,41483,89
1913-08-01,41484,89
1913-08-02,41485,90
1913-08-03,41486,90
1913-08-04,41487,88
1913-08-05,41488,82
1913-08-06,41489,85
1913-08-07,41490,84
1913-08-09,41492,84
1913-08-10,41493,96
1913-08-11,41494,84
1913-08-12,41495,69
1913-08-13,41496,72
1913-08-14,41497,79
1913-08-15,41498,80
1913-08-16,41499,85
1913-08-17,41500,90
1913-08-18,41501,93
1913-08-19,41502,93
1913-08-20,41503,84
1913-08-21,41504,79
1913-08-22,41505,78
1913-08-23,41506,82
1913-08-24,41507,81
1913-08-25,41508,80
1913-08-26,41509,88
1913-08-27,41510,91
1913-08-28,41511,89
1913-08-29,41512,88
1913-08-30,41513,84
1913-08-31,41514,89
1913-09-01,41515,89
1913-09-02,41516,89
1913-09-03,41517,83
1913-09-04,41518,87
1913-09-05,41519,91
1913-09-06,41520,92
1913-09-07,41521,90
1913-09-08,41522,85
1913-09-09,41523,87
1913-09-10,41524,70
1913-09-11,41525,74
1913-09-12,41526,88
1913-09-13,41527,75
1913-09-14,41528,70
1913-09-15,41529,69
1913-09-16,41530,68
1913-09-17,41531,74
1913-09-18,41532,75
1913-09-19,41533,75
1913-09-20,41534,68
1913-09-21,41535,75
1913-09-22,41536,63
1913-09-23,41537,65
1913-09-24,41538,71
1913-09-25,41539,78
1913-09-26,41540,79
1913-09-27,41541,79
1913-09-28,41542,70
1913-09-29,41543,75
1913-09-30,41544,80
1913-10-01,41545,78
1913-10-02,41546,73
1913-10-03,41547,68
1913-10-04,41548,72
1913-10-05,41549,76
1913-10-06,41550,75
1913-10-07,41551,73
1913-10-08,41552,71
1913-10-09,41553,71
1913-10-10,41554,75
1913-10-11,41555,78
1913-10-12,41556,75
1913-10-13,41557,66
1913-10-14,41558,66
1913-10-15,41559,75
1913-10-16,41560,75
1913-10-17,41561,75
1913-10-18,41562,64
1913-10-19,41563,65
1913-10-20,41564,57
1913-10-21,41565,52
1913-10-22,41566,53
1913-10-23,41567,60
1913-10-24,41568,64
1913-10-25,41569,63
1913-10-26,41570,65
1913-10-27,41571,65
1913-10-28,41572,64
1913-10-29,41573,59
1913-10-30,41574,57
1913-10-31,41575,45
1913-11-01,41576,49
1913-11-02,41577,50
1913-11-03,41578,60
1913-11-04,41579,60
1913-11-05,41580,57
1913-11-06,41581,62
1913-11-07,41582,63
1913-11-08,41583,63
1913-11-09,41584,50
1913-11-10,41585,48
1913-11-11,41586,36
1913-11-12,41587,48
1913-11-13,41588,67
1913-11-14,41589,68
1913-11-15,41590,54
1913-11-16,41591,44
1913-11-17,41592,52
1913-11-18,41593,65
1913-11-19,41594,74
1913-11-20,41595,72
1913-11-21,41596,72
1913-11-22,41597,74
1913-11-23,41598,68
1913-11-24,41599,63
1913-11-25,41600,50
1913-11-26,41601,57
1913-11-27,41602,54
1913-11-28,41603,43
1913-11-29,41604,47
1913-11-30,41605,48
1913-12-01,41606,57
1913-12-02,41607,50
1913-12-03,41608,57
1913-12-04,41609,60
1913-12-05,41610,63
1913-12-06,41611,61
1913-12-07,41612,56
